lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
stab_nn	nn1	1978	2	news_1978_733578.txt-0-25		@@733578 txt ROGER LYNN MYERS, 11, who mysteriously disappeared from his Du Page County home March 2, was found dead Sunday with stab wounds on his body in a south suburban forest preserve, authorities said.	129:133	0:207	1394542	annotation_validation	en	ajejohansson
stab_nn	nn1	1853	1	nf_1853_747555.txt-1471-18		Those civil wars, by which the Spanish- American republics have been so much distracted, another severe stab, not merely at the theory of the equal rights of man, but at the idea of the capacity of mankind for self-government, have been almost entirely occasioned by the great inequalities of wealth	104:108	0:299	1394540	annotation_validation	en	ajejohansson
stab_nn	nn1	1859	1	fic_1859_270.txt-2892-15		"I don't deny that there was a pang in it, yes, a stab; but there was a prayer, too, - - the "" Amen "" belonged to that."	49:53	0:118	1394541	annotation_validation	en	ajejohansson
stab_nn	nn1_vv0	1819	1	fic_1819_8693.txt-536-8		give it utterance; -- though every word Stab to my heart, that were some ease, compar'd To this dark horrible uncertainty.	40:44	0:122	1394543	annotation_validation	en	ajejohansson
stab_nn	nn1	1966	2	mag_1966_431722.txt-99-10		makes the wound fester; the mind, renewing the stab, causes it to bleed afresh.	47:51	0:79	1394552	annotation_validation	en	ajejohansson
stab_nn	nn1	2002	2	fic_2002_31327.txt-372-6		"Emmeline felt a sharp and sudden stab of envy over that, an uncharitable emotion that she'd been able to subvert when she was sober. """	33:37	0:134	1394555	annotation_validation	en	ajejohansson
stab_nn	nn1	2008	2	fic_2008_36283.txt-277-9		"I rub my scalp, massaging out a little stab of caffeine headache at my temple. """	39:43	0:80	1394572	annotation_validation	en	ajejohansson
stab_nn	nn1	1986	2	fic_1986_10741.txt-4153-6		"It had set off a sharp stab of memory that was humiliatingly physical in its intensity. """	23:27	0:89	1394554	annotation_validation	en	ajejohansson
stab_nn	nn1	1986	2	mag_1986_432267.txt-85-11		But cases like this one always leave me with a sharp stab of sadness for the innocent children involved.	53:57	0:104	1394571	annotation_validation	en	ajejohansson
stab_nn	nn1	1835	1	fic_1835_7172.txt-4168-10		his limbs were stiff, and the region of the stab sore and sensitive to the least touch.	44:48	0:87	1394544	annotation_validation	en	ajejohansson
stab_nn	nn1	1840	1	fic_1840_7292.txt-4202-23		was the imprudent reply of the maiden -- her anxiety for the justification of her lover, making her forgetful of the mortal stab which such a suggestion must give to the old gentleman	124:128	0:183	1394545	annotation_validation	en	ajejohansson
stab_nn	nn1	1995	2	fic_1995_39423.txt-435-53		with his glasses and braces, this bed-wetter and sobber in his sleep, worried at age eight about his diet and already seeing a therapist, toward this small bundle of bones and anxieties, not at all the sort of grandchild he would ever have imagined having, Bernstein felt a stab of protective love such as he had never felt before in his life.	274:278	0:343	1394568	annotation_validation	en	ajejohansson
stab_nn	nn2_vvz	1989	2	fic_1989_780082.txt-1559-10		He pulled himself upright, his spine unkinking with little stabs at each vertebra.	59:64	0:82	1394565	annotation_validation	en	ajejohansson
stab_nn	nn2_vvz	1855	1	nf_1855_747674.txt-136-12		Already a power of iniquity clutches at your children s throat; stabs at their life at their seal s life.	64:69	0:105	1394558	annotation_validation	en	ajejohansson
stab_nn	nn1@_vvg	1980	2	fic_1980_10659.txt-7615-40		He was barefooted, of course, and carried in his hands only two things: his massive shield almost as tall as himself and pure white, except for a small black dot in the middle; and his stabbing assegai with haft two feet long and iron point one	185:193	0:244	1394564	annotation_validation	en	ajejohansson
stab_nn	nn1@_vvg	1961	2	fic_1961_10407.txt-9969-10		Out in the corral with the men at roundup time stabbing steers with hypodermics and notching ears and clipping horns and branding even castrating?	47:55	0:146	1394546	annotation_validation	en	ajejohansson
stab_nn	nn1	1839	1	fic_1839_7297.txt-548-6		He would sooner forgive thee a stab at his throat than a flout upon his understanding, as indeed, would most men, those in especial who have the ambition of greatness without its soul, and better love the attributes which follow achievement, than the difficult paths and chastening circumstances which attend it.	31:35	0:312	1394559	annotation_validation	en	ajejohansson
stab_nn	nn1@	1856	1	fic_1856_9779.txt-6643-19		But Henry persevered in his determination to do no murder, for such he persuaded himself would be the stabbing of the sleeping and defenceless man.	102:110	0:147	1394566	annotation_validation	en	ajejohansson
